"msgid","msgstr"
"(G) Sum of Change in Stock Value","(ز) مجموع التغير في قيمة المخزون"
"(H) Change in Stock Value (FIFO Queue)","(ح) التغير في قيمة المخزون (قائمة انتظار FIFO)"
"(H) Valuation Rate","(ح) معدل التقييم"
"(Hour Rate / 60) * Actual Operation Time","(سعر الساعة / 60) * وقت العمل الفعلي"
"(I) Valuation Rate","(ط) معدل التقييم"
"(J) Valuation Rate as per FIFO","(ي) معدل التقييم حسب FIFO"
"(K) Valuation = Value (D) ÷ Qty (A)","(ك) التقييم = القيمة (د) ÷ الكمية (أ)"
"(Purchase Order + Material Request + Actual Expense)","(أمر الشراء + طلب المواد + المصروف الفعلي)"
"(including)","(تتضمن)"
"* Will be calculated in the transaction.","* سيتم احتسابه في المعاملة."
"0 - 30 Days","0 - 30 يومًا"
"0-30","0-30"
"0-30 Days","0-30 يومًا"
"1 Loyalty Points = How much base currency?","1 نقاط الولاء = كم العملة الأساسية؟"
"1 hr","1 ساعة"
"1-10","1-10"
"1000+","+1000"
"11-50","11-50"
"1{0}","1{0}"
"2 Yearly","عامين"
"201-500","201-500"
"3 Yearly","كل 3 سنوات"
"30 - 60 Days","30 - 60 يومًا"
"30 mins","30 دقيقة"
"30-60","30-60"
"30-60 Days","30-60 يومًا"
"501-1000","501-1000"
"51-200","51-200"
"6 hrs","6 ساعات"
"60 - 90 Days","60 - 90 يومًا"
"60-90","60-90"
"60-90 Days","60-90 يومًا"
"90 - 120 Days","90 - 120 يومًا"
"90 Above","أكثر من 90"
"<b>From Time</b> cannot be later than <b>To Time</b> for {0}","<b>من الوقت</b> لا يمكن أن يكون بعد من <b>إلى الوقت</b> لـ {0}"
"<br>
<h4>Note</h4>
<ul>
<li>
You can use <a href=""https://jinja.palletsprojects.com/en/2.11.x/"" target=""_blank"">Jinja tags</a> in <b>Subject</b> and <b>Body</b> fields for dynamic values.
</li><li>
    All fields in this doctype are available under the <b>doc</b> object and all fields for the customer to whom the mail will go to is available under the  <b>customer</b> object.
</li></ul>
<h4> Examples</h4>
<!-- {% raw %} -->
<ul>
    <li><b>Subject</b>:<br><br><pre><code>Statement Of Accounts for {{ customer.customer_name }}</code></pre><br></li>
    <li><b>Body</b>: <br><br>
<pre><code>Hello {{ customer.customer_name }},<br>PFA your Statement Of Accounts from {{ doc.from_date }} to {{ doc.to_date }}.</code> </pre></li>
</ul>
<!-- {% endraw %} -->","<br>
<h4>ملاحظة</h4>
<ul>
<li>
يمكنك استخدام <a href=""https://jinja.palletsprojects.com/en/2.11.x/"" target=""_blank"">علامات Jinja</a> في حقلي <b>الموضوع</b> و<b>النص الأساسي</b> للقيم الديناميكية.
</li><li>
    جميع الحقول في نوع المستند هذا متاحة ضمن كائن <b>doc</b> وجميع الحقول الخاصة بالعميل الذي سيُرسل إليه البريد متاحة ضمن كائن <b>customer</b>.
</li></ul>
<h4> أمثلة</h4>
<!-- {% raw %} -->
<ul>
    <li><b>الموضوع</b>:<br><br><pre><code>كشف حساب لـ {{ customer.customer_name }}</code></pre><br></li>
    <li><b>النص الأساسي</b>: <br><br>
<pre><code>مرحبًا {{ customer.customer_name }}،<br>مرفق طيه كشف حسابك من {{ doc.from_date }} إلى {{ doc.to_date }}.</code> </pre></li>
</ul>
<!-- {% endraw %} -->"
"<div class=""columnHeading"">Other Details</div>","<div class=""columnHeading"">تفاصيل أخرى</div>"
"<div class=""text-muted text-center"">No Matching Bank Transactions Found</div>","<div class=""text-muted text-center"">لم يتم العثور على معاملات بنكية مطابقة</div>"
"<div class=""text-muted text-center"">{0}</div>","<div class=""text-muted text-center"">{0}</div>"
"<div>
<h3> All dimensions in centimeter only </h3>
</div>","<div>
<h3> جميع الأبعاد بالسنتيمتر فقط </h3>
</div>"
"<h3>About Product Bundle</h3>

<p>Aggregate group of <b>Items</b> into another <b>Item</b>. This is useful if you are bundling a certain <b>Items</b> into a package and you maintain stock of the packed <b>Items</b> and not the aggregate <b>Item</b>.</p>
<p>The package <b>Item</b> will have <code>Is Stock Item</code> as <b>No</b> and <code>Is Sales Item</code> as <b>Yes</b>.</p>
<h4>Example:</h4>
<p>If you are selling Laptops and Backpacks separately and have a special price if the customer buys both, then the Laptop + Backpack will be a new Product Bundle Item.</p>","<h3>حول حزمة المنتج</h3>

<p>تجميع مجموعة من <b>الأصناف</b> في <b>صنف</b> آخر. هذا مفيد إذا كنت تقوم بتجميع <b>أصناف</b> معينة في حزمة وتحتفظ بمخزون <b>الأصناف</b> المعبأة وليس <b>الصنف</b> المجمع.</p>
<p>سيكون لدى <b>الصنف</b> المعبأ <code>هل هو صنف مخزون</code> كـ <b>لا</b> و <code>هل هو صنف مبيعات</code> كـ <b>نعم</b>.</p>
<h4>مثال:</h4>
<p>إذا كنت تبيع أجهزة كمبيوتر محمولة وحقائب ظهر بشكل منفصل ولديك سعر خاص إذا اشترى العميل كليهما، فسيكون الكمبيوتر المحمول + حقيبة الظهر صنف حزمة منتج جديد.</p>"
"<h3>Currency Exchange Settings Help</h3>
<p>There are 3 variables that could be used within the endpoint, result key and in values of the parameter.</p>
<p>Exchange rate between {from_currency} and {to_currency} on {transaction_date} is fetched by the API.</p>
<p>Example: If your endpoint is exchange.com/2021-08-01, then, you will have to input exchange.com/{transaction_date}</p>","<h3>مساعدة إعدادات صرف العملات</h3>
<p>هناك 3 متغيرات يمكن استخدامها داخل نقطة النهاية، مفتاح النتيجة وفي قيم المعلمة.</p>
<p>يتم جلب سعر الصرف بين {from_currency} و {to_currency} في {transaction_date} بواسطة واجهة برمجة التطبيقات.</p>
<p>مثال: إذا كانت نقطة النهاية الخاصة بك هي exchange.com/2021-08-01، فعليك إدخال exchange.com/{transaction_date}</p>"
"<h4>Body Text and Closing Text Example</h4>

<div>We have noticed that you have not yet paid invoice {{sales_invoice}} for {{frappe.db.get_value(""Currency"", currency, ""symbol"")}} {{outstanding_amount}}. This is a friendly reminder that the invoice was due on {{due_date}}. Please pay the amount due immediately to avoid any further dunning cost.</div>

<h4>How to get fieldnames</h4>

<p>The fieldnames you can use in your template are the fields in the document. You can find out the fields of any documents via Setup &gt; Customize Form View and selecting the document type (e.g. Sales Invoice)</p>

<h4>Templating</h4>

<p>Templates are compiled using the Jinja Templating Language. To learn more about Jinja, <a class=""strong"" href=""http://jinja.pocoo.org/docs/dev/templates/"">read this documentation.</a></p>","<h4>مثال على نص الرسالة والنص الختامي</h4>

<div>لقد لاحظنا أنك لم تسدد بعد فاتورة {{sales_invoice}} بقيمة {{frappe.db.get_value(""Currency"", currency, ""symbol"")}} {{outstanding_amount}}. هذا تذكير ودي بأن الفاتورة كانت مستحقة في {{due_date}}. يرجى سداد المبلغ المستحق فورًا لتجنب أي تكاليف مطالبة إضافية.</div>

<h4>كيفية الحصول على أسماء الحقول</h4>

<p>أسماء الحقول التي يمكنك استخدامها في القالب الخاص بك هي الحقول الموجودة في المستند. يمكنك معرفة حقول أي مستندات عبر الإعداد > تخصيص عرض النموذج واختيار نوع المستند (مثل فاتورة المبيعات)</p>

<h4>القولبة</h4>

<p>يتم تجميع القوالب باستخدام لغة قوالب Jinja. لمعرفة المزيد حول Jinja، <a class=""strong"" href=""http://jinja.pocoo.org/docs/dev/templates/"">اقرأ هذا التوثيق.</a></p>"
"<h4>Contract Template Example</h4>

<pre>Contract for Customer {{ party_name }}

-Valid From : {{ start_date }} 
-Valid To : {{ end_date }}
</pre>

<h4>How to get fieldnames</h4>

<p>The field names you can use in your Contract Template are the fields in the Contract for which you are creating the template. You can find out the fields of any documents via Setup &gt; Customize Form View and selecting the document type (e.g. Contract)</p>

<h4>Templating</h4>

<p>Templates are compiled using the Jinja Templating Language. To learn more about Jinja, <a class=""strong"" href=""http://jinja.pocoo.org/docs/dev/templates/"">read this documentation.</a></p>","<h4>مثال على قالب العقد</h4>

<pre>عقد للعميل {{ party_name }}

-صالح من : {{ start_date }} 
-صالح حتى : {{ end_date }}
</pre>

<h4>كيفية الحصول على أسماء الحقول</h4>

<p>أسماء الحقول التي يمكنك استخدامها في قالب العقد الخاص بك هي الحقول الموجودة في العقد الذي تقوم بإنشاء القالب له. يمكنك معرفة حقول أي مستندات عبر الإعداد > تخصيص عرض النموذج واختيار نوع المستند (مثل العقد)</p>

<h4>القولبة</h4>

<p>يتم تجميع القوالب باستخدام لغة قوالب Jinja. لمعرفة المزيد حول Jinja، <a class=""strong"" href=""http://jinja.pocoo.org/docs/dev/templates/"">اقرأ هذا التوثيق.</a></p>"
"<h4>Standard Terms and Conditions Example</h4>

<pre>Delivery Terms for Order number {{ name }}

-Order Date : {{ transaction_date }} 
-Expected Delivery Date : {{ delivery_date }}
</pre>

<h4>How to get fieldnames</h4>

<p>The fieldnames you can use in your email template are the fields in the document from which you are sending the email. You can find out the fields of any documents via Setup &gt; Customize Form View and selecting the document type (e.g. Sales Invoice)</p>

<h4>Templating</h4>

<p>Templates are compiled using the Jinja Templating Language. To learn more about Jinja, <a class=""strong"" href=""http://jinja.pocoo.org/docs/dev/templates/"">read this documentation.</a></p>","<h4>مثال على الشروط والأحكام القياسية</h4>

<pre>شروط التسليم لرقم الطلب {{ name }}

-تاريخ الطلب : {{ transaction_date }} 
-تاريخ التسليم المتوقع : {{ delivery_date }}
</pre>

<h4>كيفية الحصول على أسماء الحقول</h4>

<p>أسماء الحقول التي يمكنك استخدامها في قالب البريد الإلكتروني الخاص بك هي الحقول الموجودة في المستند الذي ترسل منه البريد الإلكتروني. يمكنك معرفة حقول أي مستندات عبر الإعداد > تخصيص عرض النموذج واختيار نوع المستند (مثل فاتورة المبيعات)</p>

<h4>القولبة</h4>

<p>يتم تجميع القوالب باستخدام لغة قوالب Jinja. لمعرفة المزيد حول Jinja، <a class=""strong"" href=""http://jinja.pocoo.org/docs/dev/templates/"">اقرأ هذا التوثيق.</a></p>"
"<h5 class=""text-muted uppercase"">Or</h5>","<h5 class=""text-muted uppercase"">أو</h5>"
"<label class=""control-label"" style=""margin-bottom: 0px;"">Account Number Settings</label>","<label class=""control-label"" style=""margin-bottom: 0px;"">إعدادات رقم الحساب</label>"
"<label class=""control-label"" style=""margin-bottom: 0px;"">Amount In Words</label>","<label class=""control-label"" style=""margin-bottom: 0px;"">المبلغ بالكلمات</label>"
"<label class=""control-label"" style=""margin-bottom: 0px;"">Date Settings</label>","<label class=""control-label"" style=""margin-bottom: 0px;"">إعدادات التاريخ</label>"
"<p>In your <b>Email Template</b>, you can use the following special variables:
</p>
<ul>
        <li>
            <code>{{ update_password_link }}</code>: A link where your supplier can set a new password to log into your portal.
        </li>
        <li>
            <code>{{ portal_link }}</code>: A link to this RFQ in your supplier portal.
        </li>
        <li>
            <code>{{ supplier_name }}</code>: The company name of your supplier.
        </li>
        <li>
            <code>{{ contact.salutation }} {{ contact.last_name }}</code>: The contact person of your supplier.
        </li><li>
            <code>{{ user_fullname }}</code>: Your full name.
        </li>
    </ul>
<p></p>
<p>Apart from these, you can access all values in this RFQ, like <code>{{ message_for_supplier }}</code> or <code>{{ terms }}</code>.</p>","<p>في <b>قالب البريد الإلكتروني</b> الخاص بك، يمكنك استخدام المتغيرات الخاصة التالية:
</p>
<ul>
        <li>
            <code>{{ update_password_link }}</code>: رابط حيث يمكن للمورد الخاص بك تعيين كلمة مرور جديدة لتسجيل الدخول إلى بوابتك.
        </li>
        <li>
            <code>{{ portal_link }}</code>: رابط لطلب عرض الأسعار هذا في بوابة المورد الخاصة بك.
        </li>
        <li>
            <code>{{ supplier_name }}</code>: اسم شركة المورد الخاص بك.
        </li>
        <li>
            <code>{{ contact.salutation }} {{ contact.last_name }}</code>: الشخص المسؤول عن الاتصال لدى المورد الخاص بك.
        </li><li>
            <code>{{ user_fullname }}</code>: اسمك الكامل.
        </li>
    </ul>
<p></p>
<p>بصرف النظر عن هذه، يمكنك الوصول إلى جميع القيم في طلب عرض الأسعار هذا، مثل <code>{{ message_for_supplier }}</code> أو <code>{{ terms }}</code>.</p>"
"<p>Price List Rate has not been set as editable in Selling Settings. In this scenario, setting <strong>Update Price List Based On</strong> to <strong>Price List Rate</strong> will prevent auto-updation of Item Price.</p>Are you sure you want to continue?","<p>لم يتم تعيين سعر قائمة الأسعار كقابل للتعديل في إعدادات البيع. في هذا السيناريو، سيؤدي تعيين <strong>تحديث قائمة الأسعار بناءً على</strong> إلى <strong>سعر قائمة الأسعار</strong> إلى منع التحديث التلقائي لسعر الصنف.</p>هل أنت متأكد أنك تريد المتابعة؟"
"<pre><h5>Message Example</h5>

&lt;p&gt; Thank You for being a part of {{ doc.company }}! We hope you are enjoying the service.&lt;/p&gt;

&lt;p&gt; Please find enclosed the E Bill statement. The outstanding amount is {{ doc.grand_total }}.&lt;/p&gt;

&lt;p&gt; We don't want you to be spending time running around in order to pay for your Bill.<br>After all, life is beautiful and the time you have in hand should be spent to enjoy it!<br>So here are our little ways to help you get more time for life! &lt;/p&gt;

&lt;a href=""{{ payment_url }}""&gt; click here to pay &lt;/a&gt;

</pre>
","<pre><h5>مثال على الرسالة</h5>

&lt;p&gt; شكرًا لكونك جزءًا من {{ doc.company }}! نأمل أن تستمتع بالخدمة.&lt;/p&gt;

&lt;p&gt; يرجى الاطلاع على كشف الفاتورة الإلكترونية المرفق. المبلغ المستحق هو {{ doc.grand_total }}.&lt;/p&gt;

&lt;p&gt; لا نريد أن تقضي وقتك في التنقل لدفع فاتورتك.<br>ففي النهاية، الحياة جميلة والوقت الذي لديك يجب أن تقضيه في الاستمتاع بها!<br>لذا إليك طرقنا الصغيرة لمساعدتك في الحصول على مزيد من الوقت للحياة! &lt;/p&gt;

&lt;a href=""{{ payment_url }}""&gt; انقر هنا للدفع &lt;/a&gt;

</pre>
"
"<pre><h5>Message Example</h5>

&lt;p&gt;Dear {{ doc.contact_person }},&lt;/p&gt;

&lt;p&gt;Requesting payment for {{ doc.doctype }}, {{ doc.name }} for {{ doc.grand_total }}.&lt;/p&gt;

&lt;a href=""{{ payment_url }}""&gt; click here to pay &lt;/a&gt;

</pre>
","<pre><h5>مثال على الرسالة</h5>

&lt;p&gt;عزيزي {{ doc.contact_person }}،&lt;/p&gt;

&lt;p&gt;نطلب سدادًا لـ {{ doc.doctype }}، {{ doc.name }} بمبلغ {{ doc.grand_total }}.&lt;/p&gt;

&lt;a href=""{{ payment_url }}""&gt; انقر هنا للدفع &lt;/a&gt;

</pre>
"
"<span class=""h4""><b>Masters &amp; Reports</b></span>","<span class=""h4""><b>البيانات الرئيسية والتقارير</b></span>"
"<span class=""h4""><b>Quick Access</b></span>","<span class=""h4""><b>وصول سريع</b></span>"
"<span class=""h4""><b>Reports & Masters</b></span>","<span class=""h4""><b>التقارير والبيانات الرئيسية</b></span>"
"<span class=""h4""><b>Reports &amp; Masters</b></span>","<span class=""h4""><b>التقارير والبيانات الرئيسية</b></span>"
"<span class=""h4""><b>Settings</b></span>","<span class=""h4""><b>الإعدادات</b></span>"
"<span class=""h4""><b>Shortcuts</b></span>","<span class=""h4""><b>الاختصارات</b></span>"
"<span class=""h4""><b>Your Shortcuts
			
		
			
		
			
		</b></span>","<span class=""h4""><b>اختصاراتك
			
		
			
		
			
		</b></span>"
"<span class=""h4""><b>Your Shortcuts</b></span>","<span class=""h4""><b>اختصاراتك</b></span>"
"<strong>Grand Total:</strong> {0}","<strong>المجموع الكلي:</strong> {0}"
"<strong>Outstanding Amount:</strong> {0}","<strong>المبلغ المستحق:</strong> {0}"
"<table class=""table table-bordered table-condensed"">
<thead>
  <tr>
         <th class=""table-sr"" style=""width: 50%;"">Child Document</th>
         <th class=""table-sr"" style=""width: 50%;"">Non Child Document</th>
   </tr>
</thead>
<tbody>
<tr>
         <td>
                  <p> To access parent document field use parent.fieldname and to access child table document field use doc.fieldname </p>

         </td>
         <td>
                    <p>To access document field use doc.fieldname </p>
         </td>
</tr>
<tr>
        <td>
                   <p><b>Example: </b> parent.doctype == ""Stock Entry"" and doc.item_code == ""Test"" </p>

        </td>
         <td>
                   <p><b>Example: </b> doc.doctype == ""Stock Entry"" and doc.purpose == ""Manufacture""</p>    
          </td>
</tr>

</tbody>
</table>






","<table class=""table table-bordered table-condensed"">
<thead>
  <tr>
         <th class=""table-sr"" style=""width: 50%;"">مستند فرعي</th>
         <th class=""table-sr"" style=""width: 50%;"">مستند غير فرعي</th>
   </tr>
</thead>
<tbody>
<tr>
         <td>
                  <p> للوصول إلى حقل المستند الأصلي استخدم parent.fieldname وللوصول إلى حقل مستند الجدول الفرعي استخدم doc.fieldname </p>

         </td>
         <td>
                    <p>للوصول إلى حقل المستند استخدم doc.fieldname </p>
         </td>
</tr>
<tr>
        <td>
                   <p><b>مثال: </b> parent.doctype == ""Stock Entry"" and doc.item_code == ""Test"" </p>

        </td>
         <td>
                   <p><b>مثال: </b> doc.doctype == ""Stock Entry"" and doc.purpose == ""Manufacture""</p>    
          </td>
</tr>

</tbody>
</table>






"
"A - B","أ - ب"
"A - C","أ - ج"
"A Customer Group exists with same name please change the Customer name or rename the Customer Group","مجموعة الزبائن موجودة بنفس الاسم أرجو تغير اسم العميل أو اعادة تسمية مجموعة الزبائن\
<br>\
A Customer Group exists with same name please change the Customer name or rename the Customer Group"
"A Holiday List can be added to exclude counting these days for the Workstation.","يمكن إضافة قائمة عطلات لاستبعاد حساب هذه الأيام لمحطة العمل."
"A Lead requires either a person's name or an organization's name","يتطلب العميل المتوقع اسم شخص أو اسم مؤسسة"
"A Packing Slip can only be created for Draft Delivery Note.","لا يمكن إنشاء قسيمة تعبئة إلا لمسودة إذن التسليم."
"A Price List is a collection of Item Prices either Selling, Buying, or both","قائمة الأسعار هي مجموعة من أسعار الأصناف سواء للبيع أو الشراء أو كليهما"
"A Product or a Service that is bought, sold or kept in stock.","منتج أو خدمة يتم شراؤها أو بيعها أو الاحتفاظ بها في المخزون."
"A Reconciliation Job {0} is running for the same filters. Cannot reconcile now","مهمة تسوية {0} قيد التشغيل لنفس عوامل التصفية. لا يمكن إجراء التسوية الآن"
"A Transaction Deletion Document: {0} is triggered for {0}","مستند حذف معاملة: {0} تم تشغيله لـ {0}"
"A condition for a Shipping Rule","شرط لقاعدة شحن"
"A customer must have primary contact email.","يجب أن يكون لدى العميل بريد إلكتروني أساسي للاتصال."
"A driver must be set to submit.","يجب تعيين سائق للإرسال."
"A logical Warehouse against which stock entries are made.","مستودع منطقي يتم مقابله إدخالات المخزون."
"A new appointment has been created for you with {0}","تم إنشاء موعد جديد لك من خلال {0}"
"A template with tax category {0} already exists. Only one template is allowed with each tax category","يوجد بالفعل قالب بفئة الضريبة {0}. يُسمح بقالب واحد فقط لكل فئة ضريبية"
"A third party distributor / dealer / commission agent / affiliate / reseller who sells the companies products for a commission.","موزع / تاجر / وكيل عمولة / تابع / بائع تجزئة من طرف ثالث يبيع منتجات الشركات مقابل عمولة."
"A+","+A"
"A-","-A"
"A4","A4"
"AB+","+AB"
"AB-","-AB"
"ACC-PINV-.YYYY.-","ACC-PINV-.YYYY.-"
"AMC Expiry Date","AMC تاريخ انتهاء الاشتراك"
"API","واجهة برمجة التطبيقات"
"API Details","تفاصيل واجهة برمجة التطبيقات (API)"
"API Endpoint","نقطة وصولAPI"
"API Key","مفتاح API"
"AWB Number","رقم بوليصة الشحن الجوي"
"Abampere","أبامبير"
"Abbr","اسم مختصر"
"Abbreviation","اسم مختصر"
"Abbreviation already used for another company","الاختصار يستخدم بالفعل لشركة أخرى\
<br>\
Abbreviation already used for another company"
"Abbreviation is mandatory","الاسم المختصر إلزامي"
"Abbreviation: {0} must appear only once","الاختصار: {0} يجب أن يظهر مرة واحدة فقط"
"About Us Settings","إعدادات صفحة من نحن"
"About {0} minute remaining","حوالي {0} دقيقة متبقية"
"About {0} minutes remaining","حوالي {0} دقائق متبقية"
"About {0} seconds remaining","حوالي {0} ثانية متبقية"
"Above 120 Days","أكثر من 120 يومًا"
"Academics User","المستخدمين الأكادميين"
"Acceptance Criteria Formula","صيغة معايير القبول"
"Acceptance Criteria Value","قيمة معايير القبول"
"Accepted","مقبول"
"Accepted Qty","الكمية المطلوبة"
"Accepted Qty in Stock UOM","الكمية المقبولة بوحدة قياس المخزون"
"Accepted Quantity","كمية مقبولة"
"Accepted Warehouse","مستودع مقبول"
"Access Key","مفتاح الوصول"
"Access Key is required for Service Provider: {0}","مفتاح الوصول مطلوب لمقدم الخدمة: {0}"
"According to CEFACT/ICG/2010/IC013 or CEFACT/ICG/2010/IC010","وفقًا لـ CEFACT/ICG/2010/IC013 أو CEFACT/ICG/2010/IC010"
"According to the BOM {0}, the Item '{1}' is missing in the stock entry.","وفقًا لقائمة المواد {0}، الصنف '{1}' مفقود في إدخال المخزون."
"Account","حساب"
"Account Balance","رصيد الحساب"
"Account Closing Balance","رصيد إقفال الحساب"
"Account Currency","عملة الحساب"
"Account Currency (From)","عملة الحساب (من)"
"Account Currency (To)","عملة الحساب (إلى)"
"Account Details","تفاصيل الحساب"
"Account Head","الحساب الرئيسي"
"Account Manager","مدير الحسابات"
"Account Missing","الحساب مفقود"
"Account Name","اسم الحساب"
"Account Not Found","الحساب غير موجود"
"Account Number","رقم الحساب"
"Account Number {0} already used in account {1}","رقم الحساب {0} بالفعل مستخدم في الحساب {1}"
"Account Opening Balance","رصيد افتتاح الحساب"
"Account Paid From","حساب مدفوع من"
"Account Paid To","حساب مدفوع ل"
"Account Pay Only","حساب الدفع فقط"
"Account Subtype","نوع الحساب الفرعي"
"Account Type","نوع الحساب"
"Account Value","قيمة الحساب"
"Account balance already in Credit, you are not allowed to set 'Balance Must Be' as 'Debit'","رصيد الحساب بالفعل دائن ، لا يسمح لك لتعيين ' الرصيد يجب ان يكون ' ك ' مدين '\
<br>\
Account balance already in Credit, you are not allowed to set 'Balance Must Be' as 'Debit'"
"Account balance already in Debit, you are not allowed to set 'Balance Must Be' as 'Credit'","رصيد الحساب رصيد مدين، لا يسمح لك بتغييره 'الرصيد يجب أن يكون دائن'"
"Account for Change Amount","حساب لتغيير المبلغ"
"Account is mandatory to get payment entries","الحساب إلزامي للحصول على إدخالات الدفع"
"Account is not set for the dashboard chart {0}","لم يتم تعيين الحساب لمخطط لوحة المعلومات {0}"
"Account not Found","الحساب غير موجود"
"Account with child nodes cannot be converted to ledger","لا يمكن تحويل الحساب إلى دفتر الأستاذ لأن لديه حسابات فرعية\
<br>\
Account with child nodes cannot be converted to ledger"
"Account with child nodes cannot be set as ledger","الحساب لديه حسابات فرعية لا يمكن إضافته لدفتر الأستاذ.\
<br>\
Account with child nodes cannot be set as ledger"
"Account with existing transaction can not be converted to group.","لا يمكن تحويل حساب جرت عليه أي عملية إلى تصنيف مجموعة"
"Account with existing transaction can not be deleted","الحساب لديه معاملات موجودة لا يمكن حذفه\
<br>\
Account with existing transaction can not be deleted"
"Account with existing transaction cannot be converted to ledger","لا يمكن تحويل الحساب مع الحركة الموجودة إلى دفتر الأستاذ\
<br>\
Account with existing transaction cannot be converted to ledger"
"Account {0} added multiple times","تمت إضافة الحساب {0} عدة مرات"
"Account {0} does not belong to company: {1}","الحساب {0} لا يتنمى للشركة {1}\
<br>\
Account {0} does not belong to company: {1}"
"Account {0} does not belongs to company {1}","الحساب {0} لا ينتمي للشركة {1}\
<br>\
Account {0} does not belongs to company {1}"
"Account {0} does not exist","حساب {0} غير موجود"
"Account {0} does not exists","الحساب {0} غير موجود"
