"msgid","msgstr"
"<h5 class=""text-muted uppercase"">Or</h5>","<h5 class=""text-muted uppercase"">أو</h5>"
"<h5>Message Example</h5>

<pre>&lt;h3&gt;Order Overdue&lt;/h3&gt;

&lt;p&gt;Transaction {{ doc.name }} has exceeded Due Date. Please take necessary action.&lt;/p&gt;

&lt;!-- show last comment --&gt;
{% if comments %}
Last comment: {{ comments[-1].comment }} by {{ comments[-1].by }}
{% endif %}

&lt;h4&gt;Details&lt;/h4&gt;

&lt;ul&gt;
&lt;li&gt;Customer: {{ doc.customer }}
&lt;li&gt;Amount: {{ doc.grand_total }}
&lt;/ul&gt;
</pre>",""
"<p><strong>Condition Examples:</strong></p>
<pre>doc.status==""Open""<br>doc.due_date==nowdate()<br>doc.total &gt; 40000
</pre>",""
"<p><strong>Condition Examples:</strong></p>
<pre>doc.status==""Open""<br>doc.due_date==nowdate()<br>doc.total &gt; 40000
</pre>
",""
"<p>Multiple webforms can be created for a single doctype. Add filters specific to this webform to display correct record after submission.</p><p>For Example:</p>
<p>If you create a separate webform every year to capture feedback from employees add a 
 field named year in doctype and add a filter <b>year = 2023</b></p>
","<p>يمكن إنشاء نماذج ويب متعددة لنوع مستند واحد. أضف عوامل تصفية خاصة بنموذج الويب هذا لعرض السجل الصحيح بعد الإرسال.</p><p>على سبيل المثال:</p>
<p>إذا قمت بإنشاء نموذج ويب منفصل كل عام لجمع ملاحظات الموظفين، أضف حقلاً باسم ""السنة"" في نوع المستند وأضف عامل تصفية <b>السنة = 2023</b></p>
"
"<p>Set context before rendering a template. Example:</p><p>
</p><div><pre><code>
context.project = frappe.get_doc(""Project"", frappe.form_dict.name)
</code></pre></div>","<p>قم بتعيين السياق قبل عرض القالب. مثال:</p><p>
</p><div><pre><code>
context.project = frappe.get_doc(""Project"", frappe.form_dict.name)
</code></pre></div>"
"<p>To interact with above HTML you will have to use `root_element` as a parent selector.</p><p>For example:</p><pre class=""p-3 bg-gray-100 border-radius rounded-sm mb-0"" style=""width: fit-content;""><code>// here root_element is provided by default
let some_class_element = root_element.querySelector('.some-class');
some_class_element.textContent = ""New content"";
</code></pre>","<p>للتفاعل مع HTML أعلاه، سيتعين عليك استخدام `root_element` كمحدد أصل.</p><p>على سبيل المثال:</p><pre class=""p-3 bg-gray-100 border-radius rounded-sm mb-0"" style=""width: fit-content;""><code>// هنا يتم توفير root_element بشكل افتراضي
let some_class_element = root_element.querySelector('.some-class');
some_class_element.textContent = ""محتوى جديد"";
</code></pre>"
"<p>Your OTP secret on {0} has been reset. If you did not perform this reset and did not request it, please contact your System Administrator immediately.</p>","<p>تم إعادة تعيين رمز المرور السري الخاص بك لمرة واحدة (OTP) على {0}. إذا لم تقم بإجراء إعادة التعيين هذه ولم تطلبها، فيرجى الاتصال بمسؤول النظام على الفور.</p>"
"<pre>*  *  *  *  *
┬  ┬  ┬  ┬  ┬
│  │  │  │  │
│  │  │  │  └ day of week (0 - 6) (0 is Sunday)
│  │  │  └───── month (1 - 12)
│  │  └────────── day of month (1 - 31)
│  └─────────────── hour (0 - 23)
└──────────────────── minute (0 - 59)

---

* - Any value
/ - Step values
</pre>
","<pre>*  *  *  *  *
┬  ┬  ┬  ┬  ┬
│  │  │  │  │
│  │  │  │  └ يوم الأسبوع (0 - 6) (0 هو الأحد)
│  │  │  └───── الشهر (1 - 12)
│  │  └────────── يوم الشهر (1 - 31)
│  └─────────────── الساعة (0 - 23)
└──────────────────── الدقيقة (0 - 59)

---

* - أي قيمة
/ - قيم الخطوة
</pre>
"
"<pre><code>doc.grand_total &gt; 0</code></pre>

<p>Conditions should be written in simple Python. Please use properties available in the form only.</p>
<p>Allowed functions:
</p><ul>
<li>frappe.db.get_value</li>
<li>frappe.db.get_list</li>
<li>frappe.session</li>
<li>frappe.utils.now_datetime</li>
<li>frappe.utils.get_datetime</li>
<li>frappe.utils.add_to_date</li>
<li>frappe.utils.now</li>
</ul>
<p>Example: </p><pre><code>doc.creation &gt; frappe.utils.add_to_date(frappe.utils.now_datetime(), days=-5, as_string=True, as_datetime=True) </code></pre><p></p>",""
"<span class=""h2"">Hi,</span>","<span class=""h2"">مرحبًا،</span>"
"<span class=""h4""><b>Reports &amp; Masters</b></span>",""
"<strong>Warning:</strong> This field is system generated and may be overwritten by a future update. Modify it using {0} instead.","<strong>تحذير:</strong> هذا الحقل تم إنشاؤه بواسطة النظام وقد يتم الكتابة فوقه في تحديث مستقبلي. قم بتعديله باستخدام {0} بدلاً من ذلك."
"=","="
">",">"
">=",">="
"A DocType's name should start with a letter and can only consist of letters, numbers, spaces, underscores and hyphens","يجب أن يبدأ اسم نوع المستند بحرف ويمكن أن يتكون فقط من الحروف والأرقام والمسافات والشرطات السفلية والواصلات"
"A featured post must have a cover image","يجب أن تحتوي الوظيفة المميزة على صورة غلاف"
"A field with the name {0} already exists in {1}","حقل بالاسم {0} موجود بالفعل في {1}"
"A file with same name {} already exists","ملف بنفس الاسم {} موجود بالفعل"
"A list of resources which the Client App will have access to after the user allows it.<br> e.g. project","قائمة الموارد التي سيكون لها التطبيق العميل الوصول إلى بعد قيام المستخدم يسمح بذلك. <br> على سبيل المثال مشروع"
"A new account has been created for you at {0}","تم إنشاء حساب جديد لك في {0}"
"A recurring {0} {1} has been created for you via Auto Repeat {2}.","تم إنشاء {0} {1} متكرر لك من خلال التكرار التلقائي {2}."
"A symbol for this currency. For e.g. $","رمز هذه العملة. ر.س مثلاً"
"A template already exists for field {0} of {1}","قالب موجود بالفعل للحقل {0} من {1}"
"A word by itself is easy to guess.","كلمة في حد ذاتها هي سهلة التخمين."
"A0","A0"
"A1","A1"
"A2","A2"
"A3","A3"
"A4","A4"
"A5","A5"
"A6","A6"
"A7","A7"
"A8","A8"
"A9","A9"
"ALL","جميع"
"API","واجهة برمجة التطبيقات"
"API Access","الوصول إلى API"
"API Endpoint","نقطة وصولAPI"
"API Endpoint Args","نقطة وصول API Args"
"API Key","مفتاح API"
"API Key and Secret to interact with the relay server. These will be auto-generated when the first push notification is sent from any of the apps installed on this site.","مفتاح API والسر للتفاعل مع خادم الترحيل. سيتم إنشاؤها تلقائيًا عند إرسال أول إشعار دفع من أي من التطبيقات المثبتة على هذا الموقع."
"API Key cannot be regenerated","لا يمكن إعادة إنشاء مفتاح API"
"API Method","طريقة API"
"API Secret","كلمة مرور API"
"ASC","تصاعدي"
"About","حول"
"About Us","عنا"
"About Us Settings","إعدادات صفحة من نحن"
"About Us Team Member","أعضاء فريق صفحة من نحن"
"About {0} minute remaining","حوالي {0} دقيقة متبقية"
"About {0} minutes remaining","حوالي {0} دقائق متبقية"
"About {0} seconds remaining","حوالي {0} ثانية متبقية"
"Access Control","إعدادات التحكم"
"Access Key ID","معرف مفتاح الوصول"
"Access Key Secret","الوصول إلى Key Secret"
"Access Log","سجل الوصول"
"Access Token","رمز وصول"
"Access Token URL","رابط رمز الدخول"
"Access not allowed from this IP Address","الوصول غير مسموح به من عنوان IP هذا"
"Account","حساب"
"Account Deletion Settings","إعدادات حذف الحساب"
"Accounts Manager","مدير حسابات"
"Accounts User","حسابات المستخدمين"
"Action","حدث"
"Action / Route","العمل / الطريق"
"Action Complete","اكتمل الإجراء"
"Action Failed","فشل العمل"
"Action Label","تسمية الإجراء"
"Action Timeout (Seconds)","مهلة الإجراء (ثانية)"
"Action Type","نوع العمل"
"Action {0} completed successfully on {1} {2}. View it {3}","اكتمل الإجراء {0} بنجاح على {1} {2}. اعرضه {3}"
"Action {0} failed on {1} {2}. View it {3}","فشل الإجراء {0} على {1} {2}. اعرضه {3}"
"Actions","الإجراءات"
"Activate","تفعيل"
"Active","نشط"
"Active Directory","Active Directory"
"Active Domains","المجالات النشطة"
"Active Sessions","الجلسات النشطة"
"Activity","نشاط"
"Activity Log","سجل النشاط"
"Add","إضافة"
"Add / Remove Columns","إضافة / إزالة أعمدة"
"Add / Update","إضافة / تحديث"
"Add A New Rule","إضافة قاعدة جديدة"
"Add Attachment","إضافة مرفق"
"Add Background Image","إضافة صورة خلفية"
"Add Border at Bottom","إضافة حد سفلي"
"Add Border at Top","إضافة حد علوي"
"Add Card to Dashboard","إضافة بطاقة إلى لوحة المعلومات"
"Add Chart to Dashboard","إضافة مخطط إلى لوحة القيادة"
"Add Child","إضافة الطفل"
"Add Column","إضافة عمود"
"Add Contact","إضافة جهة اتصال"
"Add Contacts","اضف جهات اتصال"
"Add Container","أضف الحاوية"
"Add Custom Tags","إضافة علامات مخصصة"
"Add Filters","إضافة عوامل تصفية"
"Add Gray Background","أضف خلفية رمادية"
"Add Group","إضافة مجموعة"
"Add Indexes","إضافة فهارس"
"Add Multiple","إضافة متعددة"
"Add New Permission Rule","إضافة قاعدة صلاحيات جديدة"
"Add Participants","أضف مشاركين"
"Add Query Parameters","إضافة معلمات الاستعلام"
"Add Roles","إضافة أدوار"
"Add Row","إضافة صف"
"Add Signature","إضافة التوقيع"
"Add Space at Bottom","إضافة مساحة في الأسفل"
"Add Space at Top","إضافة مساحة في الأعلى"
"Add Subscribers","إضافة المشتركين"
"Add Tags","إضافة علامات"
"Add Tags","إضافة علامات"
"Add Template","إضافة قالب"
"Add Total Row","إضافة صف الإجمالي"
"Add Translate Data","إضافة بيانات الترجمة"
"Add Unsubscribe Link","إضافة رابط إلغاء الاشتراك"
"Add User Permissions","إضافة أذونات المستخدم"
"Add Video Conferencing","إضافة مؤتمر فيديو"
"Add a Filter","إضافة عامل تصفية"
"Add a New Role","إضافة دور جديد"
"Add a Row","إضافة صف"
"Add a comment","إضافة تعليق"
"Add a new section","إضافة قسم جديد"
"Add a row above the current row","إضافة صف فوق الصف الحالي"
"Add a row at the bottom","إضافة صف في الأسفل"
"Add a row at the top","إضافة صف في الأعلى"
"Add a row below the current row","إضافة صف أسفل الصف الحالي"
"Add a {0} Chart","أضف مخطط {0}"
"Add column","إضافة عمود"
"Add field","إضافة حقل"
"Add new tab","إضافة علامة تبويب جديدة"
"Add page break","إضافة فاصل صفحات"
"Add script for Child Table","إضافة البرنامج النصي لجدول الطفل"
"Add section above","إضافة قسم أعلاه"
"Add section below","إضافة قسم أدناه"
"Add tab","إضافة علامة تبويب"
"Add to Dashboard","إضافة إلى لوحة القيادة"
"Add to ToDo","أضف إلى ToDo"
"Add to table","إضافة إلى الجدول"
"Add to this activity by mailing to {0}","أضف إلى هذا النشاط عن طريق إرسال بريد إلكتروني إلى {0}"
"Add {0}","إضافة {0}"
"Add {0}","إضافة {0}"
"Added","تمت الإضافة"
"Added HTML in the &lt;head&gt; section of the web page, primarily used for website verification and SEO","وأضاف HTML في القسم &lt;head&gt; من صفحة الويب، تستخدم في المقام الأول للتحقق من الموقع وSEO"
"Added default log doctypes: {}","تمت إضافة أنواع مستندات السجل الافتراضية: {}"
"Added {0} ({1})","وأضاف {0} ({1})"
"Additional Permissions","ضوابط إضافية"
"Address","عنوان"
"Address Line 1","العنوان سطر 1"
"Address Line 2","العنوان سطر 2"
"Address Template","نموذج العنوان"
"Address Title","إسم العنوان"
"Address Title is mandatory.","عنوان العنوان إلزامي."
"Address Type","نوع العنوان"
"Address and other legal information you may want to put in the footer.","العنوان وغيرها من المعلومات القانونية قد تحتاج لوضع في تذييل الصفحة."
"Addresses","عناوين"
"Addresses And Contacts","العناوين و جهات الاتصال"
"Adds a custom client script to a DocType","يضيف برنامج نصي مخصص من جانب العميل إلى نوع مستند"
"Adds a custom field to a DocType","يضيف حقلاً مخصصًا إلى نوع مستند"
"Administration","الادارة"
"Administrator","مدير"
"Administrator Logged In","تسجيل دخول مسؤول النظام"
"Administrator accessed {0} on {1} via IP Address {2}.",".{2} المسؤول ولج  {0} بتاريخ {1} عبر العنوان"
"Administrator can't follow","لا يمكن للمسؤول المتابعة"
"Advanced","متقدم"
"Advanced Control","تحكم متقدم"
"Advanced Search","البحث المتقدم"
"Advanced Settings","إعدادات متقدمة"
"After","بعد"
"After Cancel","بعد الغاء"
"After Delete","بعد الحذف"
"After Discard","بعد التجاهل"
"After Insert","بعد الإدراج"
"After Rename","بعد إعادة التسمية"
"After Save","بعد الحفظ"
"After Save (Submitted Document)","بعد الحفظ (المستند المقدم)"
"After Submission","بعد الإرسال"
"After Submit","بعد تقديم"
"Aggregate Field is required to create a number card","الحقل التجميعي مطلوب لإنشاء بطاقة رقمية"
"Aggregate Function Based On","مجموع وظيفة بناء على"
"Aggregate Function field is required to create a dashboard chart","حقل تجميع الوظائف مطلوب لإنشاء مخطط لوحة القيادة"
"Alert","إنذار"
"Alerts and Notifications","التنبيهات والإشعارات"
"Align","محاذاة"
"Align Labels to the Right","محاذاة التسميات إلى اليمين"
"Align Right","محاذاة اليمين"
"Align Value","محاذاة القيمة"
"All","الكل"
"All Day","كل يوم"
"All Images attached to Website Slideshow should be public","يجب أن تكون جميع الصور الملحقة لموقع معرض الصور على العام"
"All Records","جميع السجلات"
"All Submissions","جميع عمليات الإرسال"
"All customizations will be removed. Please confirm.","سيتم إزالة كافة التخصيصات. يرجى التأكيد."
"All fields are necessary to submit the comment.","جميع الحقول ضرورية لإرسال التعليق."
"All possible Workflow States and roles of the workflow. Docstatus Options: 0 is ""Saved"", 1 is ""Submitted"" and 2 is ""Cancelled""","جميع حالات سير العمل الممكنة وأدوار سير العمل. خيارات حالة المستند: 0 هو ""محفوظ""، 1 هو ""مرسل"" و 2 هو ""ملغى"""
"All-uppercase is almost as easy to guess as all-lowercase.","جميع الأحرف الكبيرة تكون سهلة التخمين تقريبا كالأحرف الصغيرة"
"Allocated To","المخصصة ل"
"Allow","السماح"
"Allow API Indexing Access","السماح بالوصول إلى فهرسة API"
"Allow Auto Repeat","السماح للتكرار التلقائي"
"Allow Bulk Edit","السماح بتحرير الكل"
"Allow Bulk Editing","السماح بالتعديل المجمع"
"Allow Consecutive Login Attempts ","السماح لمحاولات تسجيل الدخول المتتالية"
"Allow Dropbox Access","السماح بالدخول للدروب بوكس"
"Allow Google Calendar Access","السماح بالوصول إلى تقويم Google"
"Allow Google Contacts Access","السماح بوصول جهات اتصال Google"
"Allow Google Drive Access","تسمح جوجل محرك الوصول"
"Allow Guest","اسمح للضيف"
"Allow Guest to View","السماح للزائر بالعرض"
"Allow Guest to comment","السماح للضيوف بالتعليق"
"Allow Guests to Upload Files","السماح للضيوف بتحميل الملفات"
"Allow Import (via Data Import Tool)","السماح بالاستيراد (عبر أداة استيراد البيانات)"
"Allow Login After Fail","السماح بتسجيل الدخول بعد الفشل"
"Allow Login using Mobile Number","السماح بتسجيل الدخول باستخدام رقم الجوال"
"Allow Login using User Name","السماح بتسجيل الدخول باستخدام اسم المستخدم"
"Allow Modules","السماح للوحدات النمطية"
"Allow Older Web View Links (Insecure)","السماح بروابط عرض الويب الأقدم (غير آمن)"
"Allow Print for Cancelled","السماح بالطباعة للإلغاء"
"Allow Print for Draft","السماح بالطباعة للمسودة"
"Allow Read On All Link Options","السماح للقراءة على كل خيارات الارتباط"
"Allow Rename","السماح بإعادة التسمية"
"Allow Roles","الصلاحيات المسموح بها"
"Allow Self Approval","اسمح بالموافقة الذاتية"
"Allow Sending Usage Data for Improving Applications","السماح بإرسال بيانات الاستخدام لتحسين التطبيقات"
"Allow approval for creator of the document","السماح بالموافقة على منشئ المستند"
"Allow comments","السماح بالتعليقات"
"Allow delete","السماح بالحذف"
"Allow document creation via Email","السماح بإنشاء المستندات عبر البريد الإلكتروني"
"Allow editing after submit","السماح بالتعديل بعد الإرسال"
